"","rank","player_name","g_eligible","g_started","minutes","fg","fg_attempts","fg_pct","two_pts","two_attempts","two_point_pct","three","three_attempts","three_pct","free_throws","free_throws_attempts","free_throw_pct","orb","drb","rebounds","assists","steals","blocks","turnovers","fouls","points","part_url","year"
"1191",5,"Sean Sellers",34,19,25.4,2.8,6.4,0.433,0.8,1.6,0.491,2,4.8,0.415,1.1,1.5,0.76,0.3,2.6,2.8,1.3,0.5,0.4,1.1,1.6,8.6,"/cbb/schools/ball-state/",2017
"17273",10,"Eric Rwahwire",7,0,9.3,1.1,3.7,0.308,0.9,1.7,0.5,0.3,2,0.143,0.3,0.4,0.667,0.9,2.1,3,0.3,0,0.1,0.7,1.1,2.9,"/cbb/schools/california-riverside/",2017
"3618",3,"Brian Sullivan",32,30,33.3,4.2,10.7,0.392,1.6,3.4,0.472,2.6,7.3,0.355,1.7,2.3,0.764,0.2,2.8,3,3.9,0.7,0,1.4,2.1,12.7,"/cbb/schools/davidson/",2015
"10883",11,"Ali Tew",27,2,7.5,0.4,1.5,0.293,0.4,1.5,0.293,0,0,NA,0.4,0.7,0.556,0.9,0.9,1.9,0,0.1,0.5,0.6,1.1,1.3,"/cbb/schools/niagara/",2017
"1346",13,"Rodney Ross",4,0,4.8,0,0.3,0,0,0.3,0,0,0,NA,0,0.5,0,0.3,0.5,0.8,0,0,0,0,1,0,"/cbb/schools/bethune-cookman/",2017
"455",13,"Nick Fruscio",8,0,1.4,0.3,0.4,0.667,0.1,0.3,0.5,0.1,0.1,1,0.1,0.3,0.5,0.3,0.1,0.4,0.1,0,0,0.1,0.4,0.8,"/cbb/schools/albany-ny/",2017
"2973",2,"Warren Gillis",34,33,32.8,4.9,10.5,0.466,4.1,8.5,0.488,0.8,2,0.377,4.1,4.9,0.849,0.6,2.9,3.5,3.1,1.6,0.1,2.8,2.3,14.7,"/cbb/schools/coastal-carolina/",2014
"7275",8,"Teraes Clemmons",24,0,13,1.5,3.4,0.439,1.3,2.6,0.476,0.3,0.8,0.316,0.9,1.1,0.846,0.8,1.3,2.1,0.8,0.4,0.1,0.7,2.1,4.2,"/cbb/schools/jacksonville-state/",2014
"1333",11,"Jackie Saucer",2,0,6,0,1,0,0,0,NA,0,1,0,0,0,NA,0.5,0,0.5,0,0.5,0,1.5,1,0,"/cbb/schools/bethune-cookman/",2016
"10892",8,"Luke Doyle",29,0,15.8,1.3,4.1,0.325,0.4,1,0.433,0.9,3.1,0.289,0.2,0.3,0.75,0.3,1.3,1.6,1.1,0.4,0,0.5,1.2,3.8,"/cbb/schools/nicholls-state/",2014
